AERO PISTE,Transport operationnel,14.797,France,PIE,Oui,4,TAXPAY,0
AEROPASS,Transport operationnel,22.436,France,PIE,Oui,4,TAXPAY,0
VEOLIA TRANSDEV QUEBEC INC,Transport operationnel,16.846875,Canada,PIE,Oui,1,TAXPAY,0
AIRCAR,Transport operationnel,0.313,France,PIE,Oui,4,TAXPAY,0
ALTIBUS,Transport operationnel,1.096,France,PIE,Oui,4,TAXPAY,0
ARY,Transport operationnel,4.942,France,PIE,Oui,4,TAXPAY,0
ATRIOM DE BEAUVAISIS,Transport operationnel,18.431,France,PIE,Oui,4,TAXPAY,0
ATRIOM DU COMPIEGNOIS,Transport operationnel,12.755,France,PIE,Oui,4,TAXPAY,0
AUTOBUS AIXOIS,Transport operationnel,0.487,France,PIE,Oui,4,TAXPAY,0
AUTOBUS ARTESIENS,Transport operationnel,15.436,France,PIE,Oui,4,TAXPAY,0
AUTOBUS AUBAGNAIS,Transport operationnel,13.035,France,PIE,Oui,4,TAXPAY,0
AUTOBUS AURELIENS,Transport operationnel,6.373,France,PIE,Oui,4,TAXPAY,0
AUTOBUS MARNE LA VALLEE,Transport operationnel,26.226,France,PIE,Oui,4,TAXPAY,0
AUTOCARS ALIZES,Transport operationnel,9.99,France,PIE,Oui,4,TAXPAY,0
AUTOCARS CHAMBON-GROS,Transport operationnel,5.067,France,PIE,Oui,4,TAXPAY,0
AUTOCARS DARCHE-GROS,Transport operationnel,28.167,France,PIE,Oui,4,TAXPAY,0
AUTOCARS DE LAVESNOIS,Transport operationnel,8.744,France,PIE,Oui,4,TAXPAY,0
AUTOCARS SABARDU,Transport operationnel,14.677,France,PIE,Oui,4,TAXPAY,0
AUTOCARS TOURNEUX,Transport operationnel,9.253,France,PIE,Oui,4,TAXPAY,0
AUXERROIS MOBILITES,Transport operationnel,4.94,France,PIE,Oui,4,TAXPAY,0
Redbus Urbano SA,Transport operationnel,67.0158995615783,Chile,PIE,Oui,1,TAXPAY,0
TRANSDEV BLAZEFIELD LIMITED,Transport operationnel,67.0234567901235,United Kingdom,PIE,Oui,1,TAXPAY,0
AVA,Transport operationnel,2.828,Portugal,PIE,Oui,4,TAXPAY,0
Veolia Transport NSW PL,Transport operationnel,69.2055555555555,Australia,PIE,Oui,1,TAXPAY,0
AVAF,Transport operationnel,1.713,Portugal,PIE,Oui,4,TAXPAY,0
AWV,Transport operationnel,7.611,Germany,PIE,Oui,4,TAXPAY,0
BAYERISCHE OBERLANDBAHN GMBH IG,Transport operationnel,37.518,Germany,PIE,Oui,1,TAXPAY,0
Veolia Transport Perth PL,Transport operationnel,85.4444444444444,Australia,PIE,Oui,1,TAXPAY,0
BAYERISCHE REGIOBAHN GMBH,Transport operationnel,37.524,Germany,PIE,Oui,4,TAXPAY,0
BEIRA DOURO,Transport operationnel,7.515,Portugal,PIE,Oui,4,TAXPAY,0
BESANON MOBILIT,Transport operationnel,30.741,France,PIE,Oui,1,TAXPAY,0
BIEVRE BUS MOBILITES,Transport operationnel,7.485,France,PIE,Oui,4,TAXPAY,0
BRAVO PISTE,Transport operationnel,6.058,France,PIE,Oui,4,TAXPAY,0
MBCRC,Transport operationnel,250.608661417323,USA,PIE,Oui,1,TAXPAY,0
VEOLIA TRANSPORT AUSTRALASIA PL.,Transport operationnel,0.487301587301587,Australia,PIE,Oui,2,TAXPAY,0
Connex Jerusalem (Light Train) Ltd,Transport operationnel,15.6931818181818,Egypt,PIE,Oui,2,TAXPAY,0
BREMOND,Transport operationnel,9.977,France,PIE,Oui,4,TAXPAY,0
BUS DE L'ETANG DE BERRE,Transport operationnel,13.149,France,PIE,Oui,4,TAXPAY,0
BUS EST,Transport operationnel,9.848,France,PIE,Oui,4,TAXPAY,0
C.A.P.,Transport operationnel,14.839,France,PIE,Oui,4,TAXPAY,0
CABARO,Transport operationnel,23.455,France,PIE,Oui,4,TAXPAY,0
CAIMA,Transport operationnel,9.597,Portugal,PIE,Oui,4,TAXPAY,0
VEOLIA TRANSDEV CANADA INC (yc York),Transport operationnel,3.55546875,Canada,PIE,Oui,3,TAXPAY,0
CALCADA,Transport operationnel,0.336,Portugal,PIE,Oui,4,TAXPAY,0
VEOLIA FERRIES SYDNEY,Transport operationnel,20.0777777777778,Australia,PIE,Oui,3,TAXPAY,0
TNSWIG,Transport operationnel,20.4507936507937,Australia,PIE,Oui,3,TAXPAY,0
CAP PAYS CATHARE,Transport operationnel,8.781,France,PIE,Oui,4,TAXPAY,0
VT QUEENSLAND PTY LTD,Transport operationnel,27.3769841269841,Australia,PIE,Oui,3,TAXPAY,0
SOVEREIGN,Transport operationnel,33.8654320987654,United Kingdom,PIE,Oui,3,TAXPAY,0
CARBU WASH,Transport operationnel,12.719,France,PIE,Oui,4,TAXPAY,0
CONNEX TRANSPORTATION ISRAEL,Transport operationnel,39.9801652892562,Tunisia,PIE,Oui,3,TAXPAY,0
CARS DORSAY,Transport operationnel,24.309,France,PIE,Oui,4,TAXPAY,0
CARS DU PAYS D'AIX,Transport operationnel,9.573,France,PIE,Oui,4,TAXPAY,0
CEA TRANSPORTS,Transport operationnel,18.689,France,PIE,Oui,4,TAXPAY,0
CFTA CENTRE OUEST,Transport operationnel,15.458,France,PIE,Oui,4,TAXPAY,0
Veolia Transport Chile,Transport operationnel,0.0712666400956556,Chile,PIE,Oui,4,TAXPAY,0
CFTA RHONE,Transport operationnel,10.106,France,PIE,Oui,4,TAXPAY,0
CFTA SA (y compris etbs hors CFTA La Rhune),Transport operationnel,6.115,France,PIE,Oui,4,TAXPAY,0
CFTI (y compris etbs),Transport operationnel,48.339,France,PIE,Oui,4,TAXPAY,0
Charlipiste,Transport operationnel,2.47,France,PIE,Oui,4,TAXPAY,0
CHARTRES MOBILITE,Transport operationnel,8.448,France,PIE,Oui,4,TAXPAY,0
CIE ARMORICAINE DE TRANSPORTS,Transport operationnel,67.73,France,PIE,Oui,1,TAXPAY,0
CIE DE TRANSPORTS DE SAUMUR,Transport operationnel,0.009,France,PIE,Oui,4,TAXPAY,0
CIE DES AUTOCARS DE TOURAINE,Transport operationnel,17.772,France,PIE,Oui,4,TAXPAY,0
CIE DES TRANSPORTS DU PAYS DE VANNES,Transport operationnel,13.246,France,PIE,Oui,4,TAXPAY,0
CIE OCEANE,Transport operationnel,19.881,France,PIE,Oui,4,TAXPAY,0
Cie Saint Quentinoise de transports,Transport operationnel,6.271,France,PIE,Oui,4,TAXPAY,0
CIOTABUS,Transport operationnel,3.62,France,PIE,Oui,4,TAXPAY,0
CITEBUS DES 2 RIVES,Transport operationnel,1.941,France,PIE,Oui,4,TAXPAY,0
CITRAM AQUITAINE,Transport operationnel,44.679,France,PIE,Oui,1,TAXPAY,0
OY BIKE,Transport operationnel,0.918518518518518,United Kingdom,PIE,Oui,4,TAXPAY,0
CITRAM PYRENEES,Transport operationnel,2.977,France,PIE,Oui,4,TAXPAY,0
CITYWAY,Transport operationnel,11.497,France,PIE,Oui,3,TAXPAY,0
CMTS (MAYOTTE),Transport operationnel,1.321,France,PIE,Oui,4,TAXPAY,0
Compagnie des bacs de Loire,Transport operationnel,3.136,France,PIE,Oui,4,TAXPAY,0
COMPAGNIE DES TRANSPORTS DE LA RIVIEIRA,Transport operationnel,5.32,France,PIE,Oui,4,TAXPAY,0
Compagnie du Golfe,Transport operationnel,1.669,France,PIE,Oui,4,TAXPAY,0
Compagnie Ferroviaire Sud France,Transport operationnel,12.262,France,PIE,Oui,4,TAXPAY,0
Connex LCB,Transport operationnel,16.518,France,PIE,Oui,4,TAXPAY,0
CONNEX NANCY,Transport operationnel,52.953,France,PIE,Oui,1,TAXPAY,0
COURRIERS AUTOMOBILES PICARDS,Transport operationnel,32.056,France,PIE,Oui,4,TAXPAY,0
COURRIERS DE L'AUBE,Transport operationnel,11.546,France,PIE,Oui,4,TAXPAY,0
COURRIERS DE SEINE ET OISE,Transport operationnel,25.703,France,PIE,Oui,4,TAXPAY,0
CREUSOT MONTCEAU TRANSPORTS,Transport operationnel,5.202,France,PIE,Oui,4,TAXPAY,0
CROLARD SA,Transport operationnel,15.416,France,PIE,Oui,4,TAXPAY,0
CTPO,Transport operationnel,52.712,France,PIE,Oui,1,TAXPAY,0
DUNAND,Transport operationnel,2.544,France,PIE,Oui,4,TAXPAY,0
EAVT,Transport operationnel,5.696,Portugal,PIE,Oui,4,TAXPAY,0
ECAUXMOBILIT,Transport operationnel,2.31,France,PIE,Oui,4,TAXPAY,0
Energie Bus,Transport operationnel,0.006,France,PIE,Oui,4,TAXPAY,0
EQUIVAL SAS NEW,Transport operationnel,1.044,France,PIE,Oui,4,TAXPAY,0
ESPACES SA,Transport operationnel,0.929,France,PIE,Oui,4,TAXPAY,0
ESTEREL CARS,Transport operationnel,4.137,France,PIE,Oui,4,TAXPAY,0
ETAC,Transport operationnel,7.015,Portugal,PIE,Oui,4,TAXPAY,0
EUROLINES FRANCE,Transport operationnel,35.805,France,PIE,Oui,1,TAXPAY,0
EUROPE AUTOCARS,Transport operationnel,2.033,France,PIE,Oui,4,TAXPAY,0
FRIOUL IF EXPRESS,Transport operationnel,3.894,France,PIE,Oui,4,TAXPAY,0
GIE TRANSDEV FORMATION,Transport operationnel,1.777,France,PIE,Oui,4,TAXPAY,0
GUEDES,Transport operationnel,3.819,Portugal,PIE,Oui,4,TAXPAY,0
HaBus GmbH Verkehrsbetriebe,Transport operationnel,2.83101,Germany,PIE,Oui,4,TAXPAY,0
HANDILIB,Transport operationnel,0.212,France,PIE,Oui,4,TAXPAY,0
HEIDENHEIMER VERKEHRSGESELLSCHAFT MBH,Transport operationnel,8.289,Germany,PIE,Oui,4,TAXPAY,0
INTERCENTRO,Transport operationnel,5.742,Portugal,PIE,Oui,4,TAXPAY,0
INTERNORTE,Transport operationnel,7.566,Portugal,PIE,Oui,4,TAXPAY,0
Interpiste,Transport operationnel,4.955,France,PIE,Oui,4,TAXPAY,0
INTERSUL,Transport operationnel,1.104,Portugal,PIE,Oui,4,TAXPAY,0
INTERVAL,Transport operationnel,6.837,France,PIE,Oui,4,TAXPAY,0
JOALTO RB,Transport operationnel,4.739,Portugal,PIE,Oui,4,TAXPAY,0
JRF,Transport operationnel,0.071,Portugal,PIE,Oui,4,TAXPAY,0
JVP,Transport operationnel,0.713,Portugal,PIE,Oui,4,TAXPAY,0
KUNEGEL SA,Transport operationnel,21.867,France,PIE,Oui,4,TAXPAY,0
LAON MOBILITE,Transport operationnel,3.897,France,PIE,Oui,4,TAXPAY,0
LES AUTOCARS BLANCS,Transport operationnel,4.392,France,PIE,Oui,4,TAXPAY,0
LES CARS MARIETTE,Transport operationnel,0.535,France,PIE,Oui,4,TAXPAY,0
LES CARS ROSE,Transport operationnel,3.251,France,PIE,Oui,4,TAXPAY,0
LES LIGNES DU VAR,Transport operationnel,20.097,France,PIE,Oui,4,TAXPAY,0
LIMMOBILIERE DES FONTAINES,Transport operationnel,3.302,France,PIE,Oui,4,TAXPAY,0
LITTORAL NORD AUTOCARS,Transport operationnel,11.334,France,PIE,Oui,4,TAXPAY,0
MARTIN FRERES,Transport operationnel,4.535,France,PIE,Oui,4,TAXPAY,0
MERCUR,Transport operationnel,0.601,France,PIE,Oui,4,TAXPAY,0
MINHO BUS,Transport operationnel,3.059,Portugal,PIE,Oui,4,TAXPAY,0
MOBILITE ET SERVICES,Transport operationnel,2.433,France,PIE,Oui,4,TAXPAY,0
MONDINENSE,Transport operationnel,6.04,Portugal,PIE,Oui,4,TAXPAY,0
MONEGER,Transport operationnel,1.919,France,PIE,Oui,4,TAXPAY,0
MONTBLANC BUS,Transport operationnel,10.353,France,PIE,Oui,4,TAXPAY,0
MUSSO,Transport operationnel,3.205,France,PIE,Oui,4,TAXPAY,0
MVB,Transport operationnel,3.558,Germany,PIE,Oui,4,TAXPAY,0
N4 MOBILITES,Transport operationnel,12.736,France,PIE,Oui,4,TAXPAY,0
Niederschlesische Verkehrsgesellshaft,Transport operationnel,5.763,Germany,PIE,Oui,4,TAXPAY,0
NORDOSTSEEBAHN GmbH,Transport operationnel,73.944,Germany,PIE,Oui,1,TAXPAY,0
NORDWESTBAHN GmbH,Transport operationnel,226.404,Germany,PIE,Oui,1,TAXPAY,0
OCECARS,Transport operationnel,5.441,France,PIE,Oui,4,TAXPAY,0
ODULYS,Transport operationnel,24.82,France,PIE,Oui,4,TAXPAY,0
OMNIBUS-VERKEHR RUOFF GMBH,Transport operationnel,20.189,Germany,PIE,Oui,4,TAXPAY,0
Ostseeland Verkehr GmbH,Transport operationnel,38.865,Germany,PIE,Oui,4,TAXPAY,0
Palatinabus GmbH,Transport operationnel,8.451,Germany,PIE,Oui,4,TAXPAY,0
Passagers Ple Services,Transport operationnel,11.442,France,PIE,Oui,4,TAXPAY,0
PAYS DOC MOBILITES,Transport operationnel,13.336,France,PIE,Oui,4,TAXPAY,0
POLE ILE DE FRANCE IMMOBILIER AND FACILI,Transport operationnel,3.058,France,PIE,Oui,4,TAXPAY,0
PREVOST,Transport operationnel,3.076,France,PIE,Oui,4,TAXPAY,0
PROXIWAY(y compris etbs),Transport operationnel,3.655,France,PIE,Oui,4,TAXPAY,0
RAPIDES DE BOURGOGNE,Transport operationnel,11.007,France,PIE,Oui,4,TAXPAY,0
RAPIDES DE COTE D'AZUR,Transport operationnel,24.893,France,PIE,Oui,4,TAXPAY,0
RAPIDES DE LA MEUSE,Transport operationnel,6.049,France,PIE,Oui,4,TAXPAY,0
RAPIDES DE SAONE ET LOIRE,Transport operationnel,14.005,France,PIE,Oui,4,TAXPAY,0
RAPIDES DU LITTORAL,Transport operationnel,10.814,France,PIE,Oui,4,TAXPAY,0
RAPIDES DU VAL DE LOIRE,Transport operationnel,15.62,France,PIE,Oui,4,TAXPAY,0
RBI,Transport operationnel,8.955,Portugal,PIE,Oui,4,TAXPAY,0
RBL,Transport operationnel,25.17,Portugal,PIE,Oui,1,TAXPAY,0
RED,Transport operationnel,16.72,Portugal,PIE,Oui,1,TAXPAY,0
Rhein-Bus Verkehrsbetrieb GmbH,Transport operationnel,2.25012,Germany,PIE,Oui,4,TAXPAY,0
RMTT,Transport operationnel,64.383,France,PIE,Oui,3,TAXPAY,0
R'ORLY,Transport operationnel,3.354,France,PIE,Oui,4,TAXPAY,0
SAGEB (co -cac),Transport operationnel,26.88091,France,PIE,Oui,2,TAXPAY,0
SAINT QUENTIN MOBILITE,Transport operationnel,8.343,France,PIE,Oui,4,TAXPAY,0
SCHAUMBURGER VERKEHRS-GESELLSCHAFT MBH (,Transport operationnel,5.126,Germany,PIE,Oui,4,TAXPAY,0
SERI 49,Transport operationnel,9.119,France,PIE,Oui,4,TAXPAY,0
SETRA,Transport operationnel,15.195,France,PIE,Oui,4,TAXPAY,0
SITE.OISE,Transport operationnel,2.27,France,PIE,Oui,4,TAXPAY,0
SMEA,Transport operationnel,2.566,France,PIE,Oui,4,TAXPAY,0
SNA AJACCIENS,Transport operationnel,7.153,France,PIE,Oui,4,TAXPAY,0
SNEG,Transport operationnel,2.053,France,PIE,Oui,4,TAXPAY,0
SOARES,Transport operationnel,5.547,Portugal,PIE,Oui,4,TAXPAY,0
SOCIETE NORMANDIE VOYAGE,Transport operationnel,7.791,France,PIE,Oui,4,TAXPAY,0
SOCIETE NOUVELLE CPL,Transport operationnel,7.161,France,PIE,Oui,4,TAXPAY,0
SOLEA,Transport operationnel,43.711,France,PIE,Oui,1,TAXPAY,0
SOMETRAR (concessionnaire rouen),Transport operationnel,92.818,France,PIE,Oui,1,TAXPAY,0
ST BRIEUC MOBILITE,Transport operationnel,12.262,France,PIE,Oui,4,TAXPAY,0
ST2N,Transport operationnel,123.782,France,PIE,Oui,1,TAXPAY,0
STA CHALONS,Transport operationnel,10.559,France,PIE,Oui,4,TAXPAY,0
STADTBUS SCHWBISCH HALL GMBH,Transport operationnel,8.173,Germany,PIE,Oui,4,TAXPAY,0
STAO - PL,Transport operationnel,62.84,France,PIE,Oui,1,TAXPAY,0
STBC TUC,Transport operationnel,8.467,France,PIE,Oui,4,TAXPAY,0
STCE,Transport operationnel,7.357,France,PIE,Oui,4,TAXPAY,0
STDE,Transport operationnel,22.751,France,PIE,Oui,4,TAXPAY,0
STE DES TRANSPORTS D'ANNONAY DAVEZIEUX,Transport operationnel,1.357,France,PIE,Oui,4,TAXPAY,0
STE DES TRANSPORTS DEP DU GARD,Transport operationnel,23.879,France,PIE,Oui,4,TAXPAY,0
STE DES TRANSPORTS DEP DU LOIR ET CHER,Transport operationnel,14.936,France,PIE,Oui,4,TAXPAY,0
STE FOURAS AIX IG,Transport operationnel,1.758,France,PIE,Oui,4,TAXPAY,0
STRAV,Transport operationnel,27.32,France,PIE,Oui,4,TAXPAY,0
STUD,Transport operationnel,3.743,France,PIE,Oui,4,TAXPAY,0
SUD CARS,Transport operationnel,1.536,France,PIE,Oui,4,TAXPAY,0
SUD EST MOBILITES,Transport operationnel,30.431,France,PIE,Oui,4,TAXPAY,0
SVP Stadtverkehr Pforzheim GmbH Co. KG,Transport operationnel,18.509,Germany,PIE,Oui,2,TAXPAY,0
TCAR (exploitante rouen),Transport operationnel,84.832,France,PIE,Oui,1,TAXPAY,0
TCR AVIGNON,Transport operationnel,30.106,France,PIE,Oui,4,TAXPAY,0
TELEPHERIQUE DU SALEVE,Transport operationnel,0.808,France,PIE,Oui,4,TAXPAY,0
TENEMETRO (optionnel),Transport operationnel,1.798,Spain,PIE,Oui,4,TAXPAY,0
TIPS,Transport operationnel,5.915,France,PIE,Oui,4,TAXPAY,0
TPB (co-cac avec sageb),Transport operationnel,5.38265,France,PIE,Oui,4,TAXPAY,0
TPMR STRASBOURG (MOBISTRAS),Transport operationnel,1.281,France,PIE,Oui,4,TAXPAY,0
TPMR TOULOUSE,Transport operationnel,3.544,France,PIE,Oui,4,TAXPAY,0
TPMR TOURS,Transport operationnel,1.809,France,PIE,Oui,4,TAXPAY,0
TPTSGPS,Transport operationnel,0.109,Portugal,PIE,Oui,3,TAXPAY,0
TRA SA,Transport operationnel,56.771,France,PIE,Oui,1,TAXPAY,0
Trac-Piste,Transport operationnel,6.528,France,PIE,Oui,4,TAXPAY,0
TRAFFIC AIR SERVICES,Transport operationnel,2.21,France,PIE,Oui,4,TAXPAY,0
TRANS PROVENCE,Transport operationnel,8.11,France,PIE,Oui,4,TAXPAY,0
TRANS VAL DE France,Transport operationnel,7.57,France,PIE,Oui,4,TAXPAY,0
TRANS VAL DOISE,Transport operationnel,3.957,France,PIE,Oui,4,TAXPAY,0
TRANSAMO,Transport operationnel,10.455,France,PIE,Oui,4,TAXPAY,0
TRAMWAY DE RABAT,Transport operationnel,8.95471014492754,Tunisia,PIE,Oui,4,TAXPAY,0
TRANSAVOIE,Transport operationnel,16.413,France,PIE,Oui,4,TAXPAY,0
TRANSCOVIZELA,Transport operationnel,2.902,Portugal,PIE,Oui,4,TAXPAY,0
TRANSDATA,Transport operationnel,14.107,France,PIE,Oui,4,TAXPAY,0
TRANSDEV,Transport operationnel,87.7,France,PIE,Oui,1,TAXPAY,0
TRANSDEV AEROPORT TRANSIT,Transport operationnel,6.795,France,PIE,Oui,4,TAXPAY,0
TRANSDEV ALPES,Transport operationnel,1.245,France,PIE,Oui,4,TAXPAY,0
TRANSDEV ALSACE,Transport operationnel,6.952,France,PIE,Oui,4,TAXPAY,0
TRANSDEV AUVERGNE,Transport operationnel,1.876,France,PIE,Oui,4,TAXPAY,0
TRANSDEV DAUPHINE,Transport operationnel,3.616,France,PIE,Oui,4,TAXPAY,0
GREEN TOMATO CARS,Transport operationnel,9.76,United Kingdom,PIE,Oui,4,TAXPAY,0
TRANSDEV EQUIPAGE,Transport operationnel,9.112,France,PIE,Oui,4,TAXPAY,0
TRANSDEV EST,Transport operationnel,0.237,France,PIE,Oui,4,TAXPAY,0
TRANSDEV MOBILIDADE,Transport operationnel,0.665,Portugal,PIE,Oui,4,TAXPAY,0
TRANSDEV MONTPELLIER,Transport operationnel,12.351,France,PIE,Oui,4,TAXPAY,0
TRANSDEV NORD EST,Transport operationnel,0.092,France,PIE,Oui,4,TAXPAY,0
TRANSDEV OUTRE MER,Transport operationnel,1.137,France,PIE,Oui,4,TAXPAY,0
TRANSDEV PARIS EST,Transport operationnel,0.722,France,PIE,Oui,4,TAXPAY,0
TRANSDEV PARIS SUD,Transport operationnel,0.223,France,PIE,Oui,4,TAXPAY,0
TRANSDEV PAYS DOR,Transport operationnel,16.127,France,PIE,Oui,4,TAXPAY,0
TRANSDEV REIMS,Transport operationnel,48.596,France,PIE,Oui,1,TAXPAY,0
TRANSDEV SUD,Transport operationnel,0.141,France,PIE,Oui,4,TAXPAY,0
TRANSDEV SUD OUEST,Transport operationnel,7.163,France,PIE,Oui,4,TAXPAY,0
TRANSL,Transport operationnel,10.084,France,PIE,Oui,4,TAXPAY,0
TRANSPORT BERARD,Transport operationnel,2.635,France,PIE,Oui,4,TAXPAY,0
Transport Schon et Brullard,Transport operationnel,9.328,France,PIE,Oui,4,TAXPAY,0
Veolia Transport Sydney PL,Transport operationnel,11.8690476190476,Australia,PIE,Oui,4,TAXPAY,0
TRANSPORTS D'EURE ET LOIR,Transport operationnel,20.557,France,PIE,Oui,4,TAXPAY,0
TRANSPORTS DU VAL DE SEINE,Transport operationnel,8.536,France,PIE,Oui,4,TAXPAY,0
TRANSPORTS DU VAL D'OISE,Transport operationnel,30.227,France,PIE,Oui,4,TAXPAY,0
Transports en commun de Combs La Ville,Transport operationnel,3.886,France,PIE,Oui,4,TAXPAY,0
TRANSPORTS LIBOURNAIS,Transport operationnel,1.48,France,PIE,Oui,4,TAXPAY,0
TRANSPORTS MARNE ET MORIN,Transport operationnel,34.915,France,PIE,Oui,4,TAXPAY,0
TRANSPORTS PUBLICS DE L'AGGLOMERATION ST,Transport operationnel,58.416,France,PIE,Oui,1,TAXPAY,0
TRANSREGIO NEW,Transport operationnel,36.968,Germany,PIE,Oui,1,TAXPAY,0
TRANS-SERVICES,Transport operationnel,1.407,France,PIE,Oui,4,TAXPAY,0
TRANSVILLES,Transport operationnel,45.513,France,PIE,Oui,1,TAXPAY,0
VEOLIA TRANSPORT WA,Transport operationnel,13.3738095238095,Australia,PIE,Oui,4,TAXPAY,0
UTE Trambaix  (optionnel),Transport operationnel,5.15691,Spain,PIE,Oui,4,TAXPAY,0
UTE Trambesos (optionnel),Transport operationnel,4.54806,Spain,PIE,Oui,4,TAXPAY,0
VAD,Transport operationnel,7.845,France,PIE,Oui,4,TAXPAY,0
VAL D'EUROPE AIRPORT,Transport operationnel,9.085,France,PIE,Oui,4,TAXPAY,0
VAROISE DE TRANSPORTS,Transport operationnel,8.773,France,PIE,Oui,4,TAXPAY,0
VE Airport,Transport operationnel,1.081,France,PIE,Oui,4,TAXPAY,0
VELOWAY,Transport operationnel,3.786,France,PIE,Oui,4,TAXPAY,0
VEOLIA EDF NICE AUTO PARTAGE,Transport operationnel,2.0699,France,PIE,Oui,4,TAXPAY,0
TDV TSL (BRISBANE)- IG,Transport operationnel,15.1285714285714,Australia,PIE,Oui,4,TAXPAY,0
VEOLIA TRANSDEV,Transport operationnel,25.212,France,PIE,Oui,1,TAXPAY,0
VEOLIA TRANSDEV CHAMBERY,Transport operationnel,0.938,France,PIE,Oui,4,TAXPAY,0
VEOLIA TRANSDEV SAINT-DIZIER,Transport operationnel,1.289,France,PIE,Oui,4,TAXPAY,0
VEOLIA TRANSPORT AEROPORT DE NIMES,Transport operationnel,6.594,France,PIE,Oui,4,TAXPAY,0
VEOLIA TRANSPORT ARLES,Transport operationnel,7.16,France,PIE,Oui,4,TAXPAY,0
VEOLIA TRANSPORT BRIVE,Transport operationnel,4.002,France,PIE,Oui,4,TAXPAY,0
VEOLIA TRANSPORT CARCASSONNE,Transport operationnel,8.059,France,PIE,Oui,4,TAXPAY,0
VEOLIA TRANSPORT DU MARSAN,Transport operationnel,2.394,France,PIE,Oui,4,TAXPAY,0
VEOLIA TRANSPORT DUBLIN LIGHT RAIL LTD,Transport operationnel,52.123,Ireland,PIE,Oui,1,TAXPAY,0
VEOLIA TRANSPORT EST,Transport operationnel,1.019,France,PIE,Oui,4,TAXPAY,0
VEOLIA TRANSPORT MEDITERRANNEE,Transport operationnel,4.558,France,PIE,Oui,4,TAXPAY,0
Veolia Transport Normandie Interurbain,Transport operationnel,80.549,France,PIE,Oui,1,TAXPAY,0
VEOLIA TRANSPORT PAYS ROCHEFORTAIS,Transport operationnel,3.932,France,PIE,Oui,4,TAXPAY,0
VEOLIA TRANSPORT PERPIGNAN,Transport operationnel,9.178,France,PIE,Oui,4,TAXPAY,0
VEOLIA TRANSPORT POITOU CHARENTES,Transport operationnel,25.732,France,PIE,Oui,4,TAXPAY,0
VOLIA TRANSPORT RHNE ALPES I,Transport operationnel,52.613,France,PIE,Oui,1,TAXPAY,0
VEOLIA TRANSPORT ROANNE,Transport operationnel,6.18,France,PIE,Oui,4,TAXPAY,0
VEOLIA TRANSPORT ROYAN ATLANTIQUE,Transport operationnel,4.359,France,PIE,Oui,4,TAXPAY,0
VEOLIA TRANSPORT SIEGE ( y compris etbs),Transport operationnel,166.445,France,PIE,Oui,1,TAXPAY,0
VEOLIA TRANSPORT ST MICHEL,Transport operationnel,3.649,France,PIE,Oui,1,TAXPAY,0
VEOLIA TRANSPORT URBAIN (y compris ets hors VTU Cannes),Transport operationnel,48.926,France,PIE,Oui,4,TAXPAY,0
VEOLIA TRANSPORT VALENCE,Transport operationnel,21.902,France,PIE,Oui,4,TAXPAY,0
VEOLIA VERKEHR GMBH,Transport operationnel,18.698,Germany,PIE,Oui,4,TAXPAY,0
Veolia Verkehr Regio GmbH,Transport operationnel,1.096,Germany,PIE,Oui,3,TAXPAY,0
VEOLIA VERKEHR REGIO OST GMBH,Transport operationnel,34.182,Germany,PIE,Oui,4,TAXPAY,0
Veolia Verkehr Rheinland GmbH,Transport operationnel,15.906,Germany,PIE,Oui,4,TAXPAY,0
VEOLIA VERKEHR RHEIN-MAIN GMBH,Transport operationnel,26.639,Germany,PIE,Oui,3,TAXPAY,0
Veolia Verkehr Sachsen-Anhalt GmbH,Transport operationnel,34.308,Germany,PIE,Oui,3,TAXPAY,0
Verkehrsgesellshaft Grlitz GmbH,Transport operationnel,3.72,Germany,PIE,Oui,4,TAXPAY,0
VILLENEUVE MOBILITE,Transport operationnel,1.433,France,PIE,Oui,4,TAXPAY,0
VISUAL,Transport operationnel,19.648,France,PIE,Oui,4,TAXPAY,0
VLD,Transport operationnel,16.235,Germany,PIE,Oui,2,TAXPAY,0
VT AGGLOMRATION DE BAYONNE,Transport operationnel,22.453,France,PIE,Oui,4,TAXPAY,0
VT ALPES MARITIMES,Transport operationnel,11.659,France,PIE,Oui,4,TAXPAY,0
VT FOUGERES,Transport operationnel,1.224,France,PIE,Oui,4,TAXPAY,0
VT IDF CSP CONTRLE,Transport operationnel,2.794,France,PIE,Oui,4,TAXPAY,0
VT MIDI PYRNES,Transport operationnel,19.412,France,PIE,Oui,4,TAXPAY,0
VT PICARDIE,Transport operationnel,10.333,France,PIE,Oui,4,TAXPAY,0
VT SERVICE REUNION,Transport operationnel,5.942,France,PIE,Oui,4,TAXPAY,0
VT SHUTTLE FRANCE,Transport operationnel,3.045,France,PIE,Oui,4,TAXPAY,0
VT VOSGES,Transport operationnel,3.929,France,PIE,Oui,4,TAXPAY,0
VTLV,Transport operationnel,31.271,France,PIE,Oui,2,TAXPAY,0
Veolia TransportAuckland PL,Transport operationnel,42.1204601637178,United Kingdom,PIE,Oui,4,TAXPAY,0
West-Bus GmbH,Transport operationnel,13.96941,Germany,PIE,Oui,4,TAXPAY,0
WRTTEMBERGISCHE EISENBAHN-GESELLSCHAFT,Transport operationnel,14.545,Germany,PIE,Oui,4,TAXPAY,0